club_id,canonical_name,tier,division,ground_name,latitude,longitude,location_precision,locality,source_url,notes
bedford-town-fc,Bedford Town,6,National League North,The Eyrie,52.1385,-0.4749,town,Bedford,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Bedford, whose population spreads 3.8 mi"
buxton-fc,Buxton,6,National League North,Silverlands,53.3589,-1.9482,town,High Peak,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of High Peak, whose population spreads 7.4 mi"
harborough-town-fc,Harborough Town,6,National League North,Bowden Park,52.5184,-1.0424,town,Harborough,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Harborough, whose population spreads 8.1 mi"
hebburn-town-fc,Hebburn Town,6,National League North,Hebburn Sports & Social Ground,54.9704,-1.4476,town,South Tyneside,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of South Tyneside, whose population spreads 2.5 mi"
marine-fc,Marine,6,National League North,Marine Travel Arena,53.5407,-2.9959,town,Sefton,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Sefton, whose population spreads 7.6 mi"
radcliffe-fc,Radcliffe,6,National League North,Stainton Park,53.5754,-2.3037,town,Bury,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Bury, whose population spreads 3.9 mi"
south-shields-fc,South Shields,6,National League North,Mariners Park,54.9704,-1.4476,town,South Tyneside,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of South Tyneside, whose population spreads 2.5 mi"
worksop-town-fc,Worksop Town,6,National League North,Windsor Food Park,53.3343,-1.0313,town,Bassetlaw,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Bassetlaw, whose population spreads 8.5 mi"
billericay-town-fc,Billericay Town,6,National League South,New Lodge,51.5890,0.4660,town,Basildon,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Basildon, whose population spreads 3.5 mi"
chelmsford-city-fc,Chelmsford City,6,National League South,Melbourne Stadium,51.7229,0.4955,town,Chelmsford,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Chelmsford, whose population spreads 6.7 mi"
farnham-town-fc,Farnham Town,6,National League South,Memorial Ground,51.1720,-0.6774,town,Waverley,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Waverley, whose population spreads 6.8 mi"
folkestone-invicta-fc,Folkestone Invicta,6,National League South,Cheriton Road,51.0699,1.1007,town,Folkestone and Hythe,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Folkestone and Hythe, whose population spreads 8.7 mi"
hampton-and-richmond-borough-fc,Hampton & Richmond Borough,6,National League South,Beveree Stadium,51.4486,-0.3198,town,Richmond upon Thames,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Richmond upon Thames, whose population spreads 3.2 mi"
hemel-hempstead-town-fc,Hemel Hempstead Town,6,National League South,Vauxhall Road,51.7604,-0.5051,town,Dacorum,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Dacorum, whose population spreads 6.6 mi"
horsham-fc,Horsham,6,National League South,Camping World Community Stadium,51.0189,-0.3557,town,Horsham,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Horsham, whose population spreads 7.9 mi"
tonbridge-angels-fc,Tonbridge Angels,6,National League South,Longmead Stadium,51.2665,0.3703,town,Tonbridge and Malling,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Tonbridge and Malling, whose population spreads 6.5 mi"
walton-and-hersham-fc,Walton & Hersham,6,National League South,Elmbridge Sports Hub,51.3737,-0.3885,town,Elmbridge,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Elmbridge, whose population spreads 3.1 mi"
weston-super-mare-fc,Weston-super-Mare,6,National League South,The Optima Stadium,51.3903,-2.8522,town,North Somerset,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of North Somerset, whose population spreads 7.6 mi"
afc-whyteleafe-fc,AFC Whyteleafe,7,Isthmian League Premier,Church Road,51.2542,-0.0603,town,Tandridge,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Tandridge, whose population spreads 5.9 mi"
aveley-fc,Aveley,7,Isthmian League Premier,Parkside,51.4950,0.3425,town,Thurrock,https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates,"population-weighted centroid of Thurrock, whose population spreads 4.6 mi"
