Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
northern-premier-league-premier,,Ashton United,Atherton Collieries,2,2,D
northern-premier-league-premier,,Ashton United,Bamber Bridge,0,0,D
northern-premier-league-premier,,Ashton United,Basford United,3,0,H
northern-premier-league-premier,,Ashton United,Buxton,1,1,D
northern-premier-league-premier,,Ashton United,FC United of Manchester,0,3,A
northern-premier-league-premier,,Ashton United,Gainsborough Trinity,2,1,H
northern-premier-league-premier,,Ashton United,Grantham Town,2,2,D
northern-premier-league-premier,,Ashton United,Hyde United,0,3,A
northern-premier-league-premier,,Ashton United,Lancaster City,1,0,H
northern-premier-league-premier,,Ashton United,Matlock Town,2,0,H
northern-premier-league-premier,,Ashton United,Mickleover,3,0,H
northern-premier-league-premier,,Ashton United,Morpeth Town,1,2,A
northern-premier-league-premier,,Ashton United,Nantwich Town,2,1,H
northern-premier-league-premier,,Ashton United,Radcliffe,3,1,H
northern-premier-league-premier,,Ashton United,Scarborough Athletic,0,0,D
northern-premier-league-premier,,Ashton United,South Shields,1,0,H
northern-premier-league-premier,,Ashton United,Stafford Rangers,0,0,D
northern-premier-league-premier,,Ashton United,Stalybridge Celtic,2,1,H
northern-premier-league-premier,,Ashton United,Warrington Town,0,1,A
northern-premier-league-premier,,Ashton United,Whitby Town,1,3,A
northern-premier-league-premier,,Ashton United,Witton Albion,0,1,A
northern-premier-league-premier,,Atherton Collieries,Ashton United,1,2,A
northern-premier-league-premier,,Atherton Collieries,Bamber Bridge,2,0,H
northern-premier-league-premier,,Atherton Collieries,Basford United,3,0,H
northern-premier-league-premier,,Atherton Collieries,Buxton,0,0,D
northern-premier-league-premier,,Atherton Collieries,FC United of Manchester,2,1,H
northern-premier-league-premier,,Atherton Collieries,Gainsborough Trinity,0,1,A
northern-premier-league-premier,,Atherton Collieries,Grantham Town,1,0,H
northern-premier-league-premier,,Atherton Collieries,Hyde United,0,1,A
northern-premier-league-premier,,Atherton Collieries,Lancaster City,3,1,H
northern-premier-league-premier,,Atherton Collieries,Matlock Town,2,1,H
northern-premier-league-premier,,Atherton Collieries,Mickleover,1,2,A
northern-premier-league-premier,,Atherton Collieries,Morpeth Town,1,1,D
northern-premier-league-premier,,Atherton Collieries,Nantwich Town,0,2,A
northern-premier-league-premier,,Atherton Collieries,Radcliffe,1,0,H
northern-premier-league-premier,,Atherton Collieries,Scarborough Athletic,1,2,A
northern-premier-league-premier,,Atherton Collieries,South Shields,1,1,D
northern-premier-league-premier,,Atherton Collieries,Stafford Rangers,1,1,D
northern-premier-league-premier,,Atherton Collieries,Stalybridge Celtic,0,1,A
northern-premier-league-premier,,Atherton Collieries,Warrington Town,0,2,A
