Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
isthmian-league-premier,,Aveley,Billericay Town,1,0,H
isthmian-league-premier,,Aveley,Bishop's Stortford,0,1,A
isthmian-league-premier,,Aveley,Bognor Regis Town,1,6,A
isthmian-league-premier,,Aveley,Bowers & Pitsea,2,0,H
isthmian-league-premier,,Aveley,Brightlingsea Regent,1,1,D
isthmian-league-premier,,Aveley,Canvey Island,0,1,A
isthmian-league-premier,,Aveley,Carshalton Athletic,0,0,D
isthmian-league-premier,,Aveley,Corinthian-Casuals,2,1,H
isthmian-league-premier,,Aveley,Cray Wanderers,0,1,A
isthmian-league-premier,,Aveley,Enfield Town,1,1,D
isthmian-league-premier,,Aveley,Folkestone Invicta,2,1,H
isthmian-league-premier,,Aveley,Haringey Borough,3,0,H
isthmian-league-premier,,Aveley,Hastings United,2,1,H
isthmian-league-premier,,Aveley,Herne Bay,1,1,D
isthmian-league-premier,,Aveley,Hornchurch,1,0,H
isthmian-league-premier,,Aveley,Horsham,0,1,A
isthmian-league-premier,,Aveley,Kingstonian,0,0,D
isthmian-league-premier,,Aveley,Lewes,2,0,H
isthmian-league-premier,,Aveley,Margate,3,1,H
isthmian-league-premier,,Aveley,Potters Bar Town,3,1,H
isthmian-league-premier,,Aveley,Wingate & Finchley,1,0,H
isthmian-league-premier,,Billericay Town,Aveley,2,0,H
isthmian-league-premier,,Billericay Town,Bishop's Stortford,2,2,D
isthmian-league-premier,,Billericay Town,Bognor Regis Town,3,2,H
isthmian-league-premier,,Billericay Town,Bowers & Pitsea,3,2,H
isthmian-league-premier,,Billericay Town,Brightlingsea Regent,4,1,H
isthmian-league-premier,,Billericay Town,Canvey Island,1,0,H
isthmian-league-premier,,Billericay Town,Carshalton Athletic,1,1,D
isthmian-league-premier,,Billericay Town,Corinthian-Casuals,1,2,A
isthmian-league-premier,,Billericay Town,Cray Wanderers,2,1,H
isthmian-league-premier,,Billericay Town,Enfield Town,0,4,A
isthmian-league-premier,,Billericay Town,Folkestone Invicta,2,3,A
isthmian-league-premier,,Billericay Town,Haringey Borough,3,1,H
isthmian-league-premier,,Billericay Town,Hastings United,1,0,H
isthmian-league-premier,,Billericay Town,Herne Bay,2,0,H
isthmian-league-premier,,Billericay Town,Hornchurch,0,3,A
isthmian-league-premier,,Billericay Town,Horsham,5,3,H
isthmian-league-premier,,Billericay Town,Kingstonian,5,1,H
isthmian-league-premier,,Billericay Town,Lewes,2,1,H
isthmian-league-premier,,Billericay Town,Margate,3,0,H
isthmian-league-premier,,Billericay Town,Potters Bar Town,2,0,H
isthmian-league-premier,,Billericay Town,Wingate & Finchley,0,1,A
isthmian-league-premier,,Bishop's Stortford,Aveley,2,0,H
isthmian-league-premier,,Bishop's Stortford,Billericay Town,2,0,H
isthmian-league-premier,,Bishop's Stortford,Bognor Regis Town,2,0,H
isthmian-league-premier,,Bishop's Stortford,Bowers & Pitsea,2,0,H
isthmian-league-premier,,Bishop's Stortford,Brightlingsea Regent,3,0,H
isthmian-league-premier,,Bishop's Stortford,Canvey Island,2,2,D
isthmian-league-premier,,Bishop's Stortford,Carshalton Athletic,2,0,H
isthmian-league-premier,,Bishop's Stortford,Corinthian-Casuals,3,0,H
isthmian-league-premier,,Bishop's Stortford,Cray Wanderers,1,1,D
isthmian-league-premier,,Bishop's Stortford,Enfield Town,4,1,H
isthmian-league-premier,,Bishop's Stortford,Folkestone Invicta,3,0,H
isthmian-league-premier,,Bishop's Stortford,Haringey Borough,2,1,H
isthmian-league-premier,,Bishop's Stortford,Hastings United,2,3,A
isthmian-league-premier,,Bishop's Stortford,Herne Bay,3,0,H
isthmian-league-premier,,Bishop's Stortford,Hornchurch,4,1,H
isthmian-league-premier,,Bishop's Stortford,Horsham,1,1,D
isthmian-league-premier,,Bishop's Stortford,Kingstonian,1,0,H
isthmian-league-premier,,Bishop's Stortford,Lewes,0,3,A
isthmian-league-premier,,Bishop's Stortford,Margate,2,2,D
isthmian-league-premier,,Bishop's Stortford,Potters Bar Town,1,1,D
isthmian-league-premier,,Bishop's Stortford,Wingate & Finchley,0,0,D
isthmian-league-premier,,Bognor Regis Town,Aveley,1,1,D
isthmian-league-premier,,Bognor Regis Town,Billericay Town,0,1,A
isthmian-league-premier,,Bognor Regis Town,Bishop's Stortford,2,1,H
isthmian-league-premier,,Bognor Regis Town,Bowers & Pitsea,2,1,H
isthmian-league-premier,,Bognor Regis Town,Brightlingsea Regent,4,2,H
isthmian-league-premier,,Bognor Regis Town,Canvey Island,0,1,A
isthmian-league-premier,,Bognor Regis Town,Carshalton Athletic,3,3,D
isthmian-league-premier,,Bognor Regis Town,Corinthian-Casuals,3,2,H
isthmian-league-premier,,Bognor Regis Town,Cray Wanderers,2,2,D
isthmian-league-premier,,Bognor Regis Town,Enfield Town,0,2,A
isthmian-league-premier,,Bognor Regis Town,Folkestone Invicta,2,0,H
isthmian-league-premier,,Bognor Regis Town,Haringey Borough,0,1,A
isthmian-league-premier,,Bognor Regis Town,Hastings United,0,0,D
isthmian-league-premier,,Bognor Regis Town,Herne Bay,2,1,H
isthmian-league-premier,,Bognor Regis Town,Hornchurch,1,0,H
isthmian-league-premier,,Bognor Regis Town,Horsham,0,2,A
isthmian-league-premier,,Bognor Regis Town,Kingstonian,2,4,A
isthmian-league-premier,,Bognor Regis Town,Lewes,1,4,A
isthmian-league-premier,,Bognor Regis Town,Margate,1,0,H
isthmian-league-premier,,Bognor Regis Town,Potters Bar Town,1,2,A
isthmian-league-premier,,Bognor Regis Town,Wingate & Finchley,3,0,H
isthmian-league-premier,,Bowers & Pitsea,Aveley,2,1,H
isthmian-league-premier,,Bowers & Pitsea,Billericay Town,0,0,D
isthmian-league-premier,,Bowers & Pitsea,Bishop's Stortford,0,1,A
isthmian-league-premier,,Bowers & Pitsea,Bognor Regis Town,0,4,A
isthmian-league-premier,,Bowers & Pitsea,Brightlingsea Regent,1,1,D
isthmian-league-premier,,Bowers & Pitsea,Canvey Island,1,1,D
isthmian-league-premier,,Bowers & Pitsea,Carshalton Athletic,0,1,A
isthmian-league-premier,,Bowers & Pitsea,Corinthian-Casuals,1,0,H
isthmian-league-premier,,Bowers & Pitsea,Cray Wanderers,1,2,A
isthmian-league-premier,,Bowers & Pitsea,Enfield Town,1,4,A
isthmian-league-premier,,Bowers & Pitsea,Folkestone Invicta,3,1,H
isthmian-league-premier,,Bowers & Pitsea,Haringey Borough,2,1,H
isthmian-league-premier,,Bowers & Pitsea,Hastings United,0,2,A
isthmian-league-premier,,Bowers & Pitsea,Herne Bay,2,1,H
isthmian-league-premier,,Bowers & Pitsea,Hornchurch,0,2,A
isthmian-league-premier,,Bowers & Pitsea,Horsham,0,0,D
isthmian-league-premier,,Bowers & Pitsea,Kingstonian,2,2,D
isthmian-league-premier,,Bowers & Pitsea,Lewes,2,3,A
isthmian-league-premier,,Bowers & Pitsea,Margate,0,2,A
isthmian-league-premier,,Bowers & Pitsea,Potters Bar Town,2,0,H
isthmian-league-premier,,Bowers & Pitsea,Wingate & Finchley,2,2,D
isthmian-league-premier,,Brightlingsea Regent,Aveley,0,6,A
isthmian-league-premier,,Brightlingsea Regent,Billericay Town,2,0,H
isthmian-league-premier,,Brightlingsea Regent,Bishop's Stortford,2,0,H
isthmian-league-premier,,Brightlingsea Regent,Bognor Regis Town,0,4,A
isthmian-league-premier,,Brightlingsea Regent,Bowers & Pitsea,0,2,A
