Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
national-league-north,,AFC Fylde,AFC Telford United,3,1,H
national-league-north,,AFC Fylde,Alfreton Town,2,0,H
national-league-north,,AFC Fylde,Banbury United,5,0,H
national-league-north,,AFC Fylde,Blyth Spartans,0,3,A
national-league-north,,AFC Fylde,Boston United,4,1,H
national-league-north,,AFC Fylde,Brackley Town,3,0,H
national-league-north,,AFC Fylde,Bradford (Park Avenue),3,1,H
national-league-north,,AFC Fylde,Buxton,1,0,H
national-league-north,,AFC Fylde,Chester,1,1,D
national-league-north,,AFC Fylde,Chorley,1,2,A
national-league-north,,AFC Fylde,Curzon Ashton,3,1,H
national-league-north,,AFC Fylde,Darlington,3,2,H
national-league-north,,AFC Fylde,Farsley Celtic,3,1,H
national-league-north,,AFC Fylde,Gloucester City,2,0,H
national-league-north,,AFC Fylde,Hereford,1,3,A
national-league-north,,AFC Fylde,Kettering Town,2,1,H
national-league-north,,AFC Fylde,Kidderminster Harriers,0,2,A
national-league-north,,AFC Fylde,King's Lynn Town,3,3,D
national-league-north,,AFC Fylde,Leamington,5,1,H
national-league-north,,AFC Fylde,Peterborough Sports,1,0,H
national-league-north,,AFC Fylde,Scarborough Athletic,0,2,A
national-league-north,,AFC Fylde,Southport,1,0,H
national-league-north,,AFC Fylde,Spennymoor Town,2,2,D
national-league-north,,AFC Telford United,AFC Fylde,0,3,A
national-league-north,,AFC Telford United,Alfreton Town,1,2,A
national-league-north,,AFC Telford United,Banbury United,2,1,H
national-league-north,,AFC Telford United,Blyth Spartans,0,1,A
national-league-north,,AFC Telford United,Boston United,1,2,A
national-league-north,,AFC Telford United,Brackley Town,0,1,A
national-league-north,,AFC Telford United,Bradford (Park Avenue),4,0,H
national-league-north,,AFC Telford United,Buxton,1,1,D
national-league-north,,AFC Telford United,Chester,0,0,D
national-league-north,,AFC Telford United,Chorley,1,0,H
national-league-north,,AFC Telford United,Curzon Ashton,2,3,A
national-league-north,,AFC Telford United,Darlington,1,4,A
national-league-north,,AFC Telford United,Farsley Celtic,1,1,D
national-league-north,,AFC Telford United,Gloucester City,0,4,A
national-league-north,,AFC Telford United,Hereford,0,1,A
national-league-north,,AFC Telford United,Kettering Town,1,1,D
national-league-north,,AFC Telford United,Kidderminster Harriers,1,2,A
national-league-north,,AFC Telford United,King's Lynn Town,0,4,A
national-league-north,,AFC Telford United,Leamington,1,1,D
national-league-north,,AFC Telford United,Peterborough Sports,0,1,A
national-league-north,,AFC Telford United,Scarborough Athletic,1,1,D
national-league-north,,AFC Telford United,Southport,1,1,D
national-league-north,,AFC Telford United,Spennymoor Town,1,1,D
national-league-north,,Alfreton Town,AFC Fylde,0,1,A
national-league-north,,Alfreton Town,AFC Telford United,1,0,H
national-league-north,,Alfreton Town,Banbury United,2,0,H
national-league-north,,Alfreton Town,Blyth Spartans,1,0,H
national-league-north,,Alfreton Town,Boston United,3,1,H
national-league-north,,Alfreton Town,Brackley Town,1,0,H
national-league-north,,Alfreton Town,Bradford (Park Avenue),0,0,D
national-league-north,,Alfreton Town,Buxton,3,0,H
national-league-north,,Alfreton Town,Chester,2,2,D
national-league-north,,Alfreton Town,Chorley,0,2,A
national-league-north,,Alfreton Town,Curzon Ashton,1,2,A
national-league-north,,Alfreton Town,Darlington,2,2,D
national-league-north,,Alfreton Town,Farsley Celtic,1,0,H
national-league-north,,Alfreton Town,Gloucester City,1,2,A
national-league-north,,Alfreton Town,Hereford,1,1,D
national-league-north,,Alfreton Town,Kettering Town,2,0,H
national-league-north,,Alfreton Town,Kidderminster Harriers,1,1,D
national-league-north,,Alfreton Town,King's Lynn Town,0,2,A
national-league-north,,Alfreton Town,Leamington,2,0,H
national-league-north,,Alfreton Town,Peterborough Sports,2,2,D
national-league-north,,Alfreton Town,Scarborough Athletic,2,0,H
national-league-north,,Alfreton Town,Southport,4,0,H
national-league-north,,Alfreton Town,Spennymoor Town,3,2,H
national-league-north,,Banbury United,AFC Fylde,3,1,H
national-league-north,,Banbury United,AFC Telford United,1,2,A
national-league-north,,Banbury United,Alfreton Town,1,1,D
national-league-north,,Banbury United,Blyth Spartans,0,0,D
national-league-north,,Banbury United,Boston United,0,0,D
national-league-north,,Banbury United,Brackley Town,0,1,A
national-league-north,,Banbury United,Bradford (Park Avenue),1,0,H
