Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
southern-league-premier-south,,Basingstoke Town,Berkhamsted,2,1,H
southern-league-premier-south,,Basingstoke Town,Bracknell Town,2,1,H
southern-league-premier-south,,Basingstoke Town,Chertsey Town,2,1,H
southern-league-premier-south,,Basingstoke Town,Dorchester Town,1,1,D
southern-league-premier-south,,Basingstoke Town,Evesham United,1,0,H
southern-league-premier-south,,Basingstoke Town,Farnham Town,1,4,A
southern-league-premier-south,,Basingstoke Town,Gloucester City,0,2,A
southern-league-premier-south,,Basingstoke Town,Gosport Borough,0,3,A
southern-league-premier-south,,Basingstoke Town,Hanwell Town,3,2,H
southern-league-premier-south,,Basingstoke Town,Havant & Waterlooville,1,3,A
southern-league-premier-south,,Basingstoke Town,Hungerford Town,1,2,A
southern-league-premier-south,,Basingstoke Town,Plymouth Parkway,1,1,D
southern-league-premier-south,,Basingstoke Town,Poole Town,1,2,A
southern-league-premier-south,,Basingstoke Town,Sholing,1,0,H
southern-league-premier-south,,Basingstoke Town,Taunton Town,3,3,D
southern-league-premier-south,,Basingstoke Town,Tiverton Town,3,1,H
southern-league-premier-south,,Basingstoke Town,Uxbridge,1,1,D
southern-league-premier-south,,Basingstoke Town,Walton & Hersham,0,3,A
southern-league-premier-south,,Basingstoke Town,Weymouth,1,2,A
southern-league-premier-south,,Basingstoke Town,Wimborne Town,2,0,H
southern-league-premier-south,,Basingstoke Town,Yate Town,4,2,H
southern-league-premier-south,,Berkhamsted,Basingstoke Town,1,0,H
southern-league-premier-south,,Berkhamsted,Bracknell Town,1,0,H
southern-league-premier-south,,Berkhamsted,Chertsey Town,1,2,A
southern-league-premier-south,,Berkhamsted,Dorchester Town,1,0,H
southern-league-premier-south,,Berkhamsted,Evesham United,3,1,H
southern-league-premier-south,,Berkhamsted,Farnham Town,3,3,D
southern-league-premier-south,,Berkhamsted,Gloucester City,1,0,H
southern-league-premier-south,,Berkhamsted,Gosport Borough,2,1,H
southern-league-premier-south,,Berkhamsted,Hanwell Town,2,3,A
southern-league-premier-south,,Berkhamsted,Havant & Waterlooville,2,1,H
southern-league-premier-south,,Berkhamsted,Hungerford Town,4,1,H
southern-league-premier-south,,Berkhamsted,Plymouth Parkway,2,2,D
southern-league-premier-south,,Berkhamsted,Poole Town,1,2,A
southern-league-premier-south,,Berkhamsted,Sholing,1,1,D
southern-league-premier-south,,Berkhamsted,Taunton Town,3,2,H
southern-league-premier-south,,Berkhamsted,Tiverton Town,3,0,H
southern-league-premier-south,,Berkhamsted,Uxbridge,3,0,H
southern-league-premier-south,,Berkhamsted,Walton & Hersham,0,3,A
southern-league-premier-south,,Berkhamsted,Weymouth,2,0,H
southern-league-premier-south,,Berkhamsted,Wimborne Town,0,3,A
southern-league-premier-south,,Berkhamsted,Yate Town,1,1,D
southern-league-premier-south,,Bracknell Town,Basingstoke Town,3,2,H
southern-league-premier-south,,Bracknell Town,Berkhamsted,1,1,D
southern-league-premier-south,,Bracknell Town,Chertsey Town,2,4,A
southern-league-premier-south,,Bracknell Town,Dorchester Town,2,2,D
southern-league-premier-south,,Bracknell Town,Evesham United,2,3,A
southern-league-premier-south,,Bracknell Town,Farnham Town,2,0,H
southern-league-premier-south,,Bracknell Town,Gloucester City,0,2,A
southern-league-premier-south,,Bracknell Town,Gosport Borough,0,2,A
southern-league-premier-south,,Bracknell Town,Hanwell Town,2,1,H
southern-league-premier-south,,Bracknell Town,Havant & Waterlooville,3,0,H
southern-league-premier-south,,Bracknell Town,Hungerford Town,1,1,D
southern-league-premier-south,,Bracknell Town,Plymouth Parkway,0,2,A
southern-league-premier-south,,Bracknell Town,Poole Town,3,4,A
southern-league-premier-south,,Bracknell Town,Sholing,4,2,H
southern-league-premier-south,,Bracknell Town,Taunton Town,3,2,H
