Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
national-league-south,,AFC Totton,Billericay Town,1,0,H
national-league-south,,AFC Totton,Chesham United,0,4,A
national-league-south,,AFC Totton,Dorking Wanderers,0,3,A
national-league-south,,Billericay Town,Dover Athletic,2,0,H
national-league-south,,Billericay Town,Tonbridge Angels,2,2,D
national-league-south,,Braintree Town,Chesham United,3,2,H
national-league-south,,Braintree Town,Farnborough,0,2,A
national-league-south,,Braintree Town,Horsham,1,2,A
national-league-south,,Braintree Town,Tonbridge Angels,0,4,A
national-league-south,,Chelmsford City,Maidenhead United,1,0,H
national-league-south,,Chelmsford City,Truro City,0,0,D
national-league-south,,Chesham United,Dover Athletic,2,2,D
national-league-south,,Chesham United,Walton & Hersham,2,0,H
national-league-south,,Dagenham & Redbridge,Farnham Town,2,1,H
national-league-south,,Dagenham & Redbridge,Slough Town,1,0,H
national-league-south,,Dagenham & Redbridge,Torquay United,2,0,H
national-league-south,,Dorking Wanderers,Dagenham & Redbridge,0,1,A
national-league-south,,Dorking Wanderers,Maidstone United,2,3,A
national-league-south,,Dorking Wanderers,Truro City,1,0,H
national-league-south,,Dover Athletic,Braintree Town,3,3,D
national-league-south,,Dover Athletic,Slough Town,5,3,H
national-league-south,,Dover Athletic,Tonbridge Angels,0,1,A
national-league-south,,Farnborough,Chesham United,1,0,H
national-league-south,,Farnborough,Hemel Hempstead Town,0,2,A
national-league-south,,Farnham Town,AFC Totton,0,1,A
national-league-south,,Farnham Town,Billericay Town,2,4,A
national-league-south,,Farnham Town,Torquay United,2,0,H
national-league-south,,Folkestone Invicta,Chelmsford City,1,1,D
national-league-south,,Folkestone Invicta,Hemel Hempstead Town,2,0,H
national-league-south,,Folkestone Invicta,Walton & Hersham,5,1,H
national-league-south,,Hampton & Richmond Borough,Maidstone United,1,4,A
national-league-south,,Hampton & Richmond Borough,Slough Town,5,3,H
national-league-south,,Hemel Hempstead Town,Chelmsford City,1,1,D
national-league-south,,Hemel Hempstead Town,Maidenhead United,0,1,A
national-league-south,,Hemel Hempstead Town,Weston-super-Mare,1,3,A
national-league-south,,Horsham,Farnham Town,1,2,A
national-league-south,,Horsham,Hampton & Richmond Borough,2,0,H
national-league-south,,Horsham,Salisbury,0,0,D
national-league-south,,Maidenhead United,AFC Totton,1,1,D
national-league-south,,Maidenhead United,Dorking Wanderers,0,0,D
national-league-south,,Maidenhead United,Farnborough,1,1,D
national-league-south,,Maidstone United,Farnborough,1,2,A
national-league-south,,Maidstone United,Folkestone Invicta,1,1,D
national-league-south,,Maidstone United,Salisbury,2,1,H
national-league-south,,Salisbury,Billericay Town,1,0,H
national-league-south,,Salisbury,Hampton & Richmond Borough,5,0,H
national-league-south,,Salisbury,Hemel Hempstead Town,1,2,A
national-league-south,,Slough Town,Farnham Town,0,1,A
national-league-south,,Slough Town,Folkestone Invicta,0,2,A
national-league-south,,Tonbridge Angels,Torquay United,1,2,A
national-league-south,,Tonbridge Angels,Truro City,0,2,A
national-league-south,,Tonbridge Angels,Walton & Hersham,5,1,H
national-league-south,,Torquay United,Hampton & Richmond Borough,1,1,D
national-league-south,,Torquay United,Horsham,1,1,D
national-league-south,,Torquay United,Weston-super-Mare,0,0,D
national-league-south,,Truro City,Dagenham & Redbridge,3,0,H
national-league-south,,Truro City,Maidenhead United,2,0,H
national-league-south,,Walton & Hersham,Dagenham & Redbridge,0,2,A
national-league-south,,Walton & Hersham,Dorking Wanderers,1,4,A
national-league-south,,Walton & Hersham,Maidstone United,0,3,A
national-league-south,,Weston-super-Mare,Chelmsford City,1,1,D
national-league-south,,Weston-super-Mare,Chesham United,3,0,H
national-league-south,,Weston-super-Mare,Dover Athletic,2,3,A
national-league-south,,Weston-super-Mare,Hampton & Richmond Borough,3,0,H
